Player,Tm,Pos,Type,Class,Details
Marquis Haynes,CAR,DE,Undisclosed,questionable,Haynes has missed the last two games for unspecified non-football related reasons. His status for Sunday's clash against the Ravens is up in the air.
Andre Smith,CAR,LB,Hamstring,questionable,Smith has missed the last two games while tending to a hamstring injury and it is unclear if he will play in Sunday's game against the Ravens.
Thomas Davis,CAR,LB,Undisclosed,questionable,Davis left the last game due to an unspecified injury and it is unclear if he will be able to participate on Sunday against the Ravens.
Mario Addison,CAR,DE,Back,questionable,Addison is dealing with a back injury and it is undetermined if he will face the Ravens on Sunday.
Jared Norris,CAR,LB,Toe,I-R,Norris has been placed on injured reserve after having toe surgery.
Matt Kalil,CAR,T,Knee,I-R,Kalil is on the injured reserve list after having arthroscopic right knee surgery conducted during the preseason but is slated to make his season debut during Week 9 against the Buccaneers.
Fozzy Whittaker,CAR,RB,Knee,I-R,Whittaker has landed on the injured reserve list after tearing his ACL.
Ross Cockrell,CAR,CB,Shin,I-R,Cockrell is on the injured reserve list as he had surgery to repair a fractured left fibula and tibia.
Damian Parms,CAR,S,Shoulder,I-R,Parms is on injured reserve with a shoulder injury.
Andrew Trumbetti,CHI,LB,Undisclosed,I-R,Trumbetti is on injured reserve due to an unspecified ailment.
Adam Shaheen,CHI,TE,Foot,I-R,Shaheen is on injured reserve with a right foot sprain and an ankle injury. It is uncertain if he will be activated in time for Week 9 against the Bills.
Allen Robinson,CHI,WR,Groin,questionable,Robinson II has a groin injury and it is unclear if he will play Sunday against the Jets.
Marcus Cooper,CHI,DB,Hamstring,questionable,Cooper Sr. has missed the past four games with a hamstring injury and it is unclear if he will return against the Jets on Sunday.
Khalil Mack,CHI,LB,Ankle,questionable,Mack is dealing with a right ankle injury and it is unknown if he will suit up against the Jets on Sunday.
Sam Acho,CHI,LB,Pectoral,I-R,Acho has been designated for injured reserve with a torn pectoral muscle.
Zach Miller,CHI,TE,Leg,I-R,Miller is expected to miss the entire 2018 season while on the PUP list as he is recuperating from vascular surgery to repair a torn popliteal artery in his dislocated left knee that ended his 2017 season.
Ryan Glasgow,CIN,DT,Knee,I-R,Glasgow is on the injured reserve list with a torn ACL.
Davontae Harris,CIN,CB,Knee,I-R,Harris has been placed on injured reserve with a knee sprain and will have to sit out the first eight weeks of the season.
Trayvon Henderson,CIN,S,Arm,I-R,Henderson is on the injured reserve list with an arm injury.
Cethan Carter,CIN,TE,Shoulder,I-R,Carter suffered a shoulder injury and is on the injured reserve list and is expected to miss the first eight weeks of the season.
Darqueze Dennard,CIN,CB,Shoulder,questionable,Dennard sat out the previous game with a shoulder injury and it is uncertain if he will play Sunday against the Buccaneers.
Vontaze Burfict,CIN,LB,Hip,questionable,Burfict departed the last game due to a left hip injury and it is undetermined if he will line up against the Buccaneers on Sunday.
John Ross,CIN,WR,Groin,out,Ross has a groin injury and is expected to miss three weeks of action.
Tyler Kroft,CIN,TE,Foot,questionable,Kroft has missed the past two games due to a right foot injury and it is unknown if he will be available against the Buccaneers on Sunday.
Mason Schreck,CIN,TE,Knee,I-R,Schreck is on injured reserve due to a knee injury.
Billy Price,CIN,C,Foot,questionable,Price is sidelined with a right foot sprain and it is unclear if he will return against the Buccaneers on Sunday.
Nick Vigil,CIN,LB,Knee,out,Vigil sustained a sprained MCL in his knee and is expected to miss two-to-four weeks.
Tyler Eifert,CIN,TE,Ankle,I-R,Eifert is recovering from surgery to repair a broken right ankle while on the injured reserve list.
Giovani Bernard,CIN,HB,Knee,out,Bernard is sidelined with a knee injury and will be held out of action until the beginning of November.
Rod Taylor,CIN,G,Knee,I-R,Taylor has landed on injured reserve with a torn ACL.
Lenny Jones,CLE,DL,Undisclosed,I-R,Jones is on injured reserve due to an unspecified ailment.
E.J. Gaines,CLE,DB,Concussion,questionable,Gaines missed the last game as he is in the league's concussion protocol and it is unknown if he will be cleared prior to Sunday's matchup against the Steelers.
Rashard Higgins,CLE,WR,Knee,questionable,Higgins suffered a sprained MCL in his knee and it is unclear if he will return to action against the Steelers on Sunday.
Rod Streater,CLE,WR,Neck,I-R,Streater is on the injured reserve list with a broken bone in his neck.
Joe Schobert,CLE,LB,Hamstring,out,Schobert suffered a hamstring injury and his status is week-to-week going forward.
Derrick Willies,CLE,WR,Shoulder,I-R,Willies has been placed on injured reserve with a shoulder injury and it is unknown if he will be activated in Week 14 against the Panthers.
Terrance Mitchell,CLE,DB,Forearm,I-R,Mitchell is on injured reserve due to a fractured forearm and is expected to miss at least eight weeks.
Howard Wilson,CLE,DB,Foot,I-R,Wilson is on the injured reserve list due to patellar tendon surgery.
Ricardo Louis,CLE,WR,Neck,I-R,Louis has landed on the injured reserve list due to neck surgery.
Joe Haeg,IND,T,Ankle,I-R,Haeg is dealing with an ankle injury and has landed on the injured reserve list. It is unclear if he will be activated in time for Week 11 against the Titans.
Ronald Martin,IND,S,Shoulder,I-R,Martin has been placed on injured reserve due to a shoulder injury.
James Wright,IND,WR,Knee,I-R,Wright has reverted to the injured reserve list after passing through waivers with a knee injury.
J'Marcus Webb,IND,T,Hamstring,I-R,Webb is on the injured reserve list due to a hamstring injury.
Brad Kaaya,IND,QB,Back,I-R,Kaaya is on injured reserve with a back injury.
Ross Travis,IND,TE,Knee,I-R,Travis has been designated for injured reserve due to a torn ACL.
Tyquan Lewis,IND,DT,Foot,I-R,Lewis is on injured reserve while dealing with a foot injury and is expected to miss the first eight weeks of the season.
Jack Doyle,IND,TE,Hip,questionable,Doyle has missed the previous four game dealing with a hip injury and it is unclear if he will be available for Sunday's contest against the Raiders.
Jihad Ward,IND,DT,Ankle,out,Ward suffered damage to the ligaments in his left ankle and will miss an undetermined length of time.
Robert Turbin,IND,RB,Shoulder,questionable,Turbin sat out the last game due to a shoulder injury and it is unclear if it will prevent him from playing Sunday against the Raiders.
Erik Swoope,IND,TE,Knee,questionable,Swoope left the previous game with a knee injury and his status for Sunday's matchup against the Raiders is in question.
Arthur Maulet,IND,CB,Hip,questionable,Maulet has been held out of the last two games with a hip injury and it is undetermined if he will participate in the game on Sunday against the Raiders.
Ryan Grant,IND,WR,Ankle,questionable,Grant was absent from the lineup during the previous game with an ankle injury and it has yet to be determined if he will suit up Sunday against the Raiders.
Clayton Geathers,IND,S,Neck,questionable,Geathers has missed the last two games due to a neck injury and a concussion. It is uncertain if he will return against the Raiders on Sunday.
Denico Autry,IND,DT,Hamstring,questionable,Autry has sat out the previous two games due to a hamstring injury and it is unknown if he will be available Sunday against the Raiders.
Denzelle Good,IND,T,Personal,questionable,Good has missed the past two games due to a personal matter and it is unclear if he will be active for Sunday's contest against the Raiders.
Adam Vinatieri,IND,K,Groin,questionable,Vinatieri has a groin injury and it is unclear if he will be available against the Raiders on Sunday.
Marcus Johnson,IND,WR,Ankle,I-R,Johnson is recovering from surgery to repair a torn ligament in his right ankle while on the injured reserve list.
Matthias Farley,IND,S,Hamstring,I-R,Farley is battling a hamstring injury and has been placed on injured reserve. It is undetermined if he will return during Week 15 against the Cowboys.
Matt Slauson,IND,C,Back,I-R,Slauson has landed on the injured reserve list due to two cracked vertebrae in his back.
Deon Cain,IND,WR,Knee,I-R,Cain has landed on injured reserve as he suffered a torn ACL.
Jonathan Owens,ARI,S,Knee,I-R,Owens is on injured reserve with a knee ailment.
Jeremy Cash,ARI,LB,Knee,I-R,Cash is on injured reserve due to a knee injury.
Gabe Martin,ARI,LB,Achilles,I-R,Martin is recovering from an Achilles injury while on injured reserve.
Mike Iupati,ARI,OL,Back,questionable,Iupati sat out the previous game due to a back injury and it is unknown if he will suit up against the 49ers on Sunday.
Tre Boston,ARI,S,Shoulder,questionable,Boston was absent from the last game with injuries to his shoulder and ribs. It is undetermined if he will play against the 49ers on Sunday.
Jeremy Vujnovich,ARI,G,Hamstring,questionable,Vujnovich was held out of the previous game due to a hamstring injury and it is uncertain if he will participate in Sunday's contest against the 49ers.
Ricky Seals-Jones,ARI,TE,Forearm,questionable,Seals-Jones was lifted from the previous game due to a right forearm injury and his status is in question for Sunday's matchup against the 49ers.
Justin Pugh,ARI,OL,Hand,questionable,Pugh is recuperating from a broken hand and it is uncertain if he will play against the 49ers on Sunday.
Sam Bradford,ARI,QB,Pectoral,questionable,Bradford has missed the past four games due to a pectoral injury and it is unclear if he will return Sunday against the 49ers.
Josh Rosen,ARI,QB,Toe,probable,Rosen was forced from the last game due to a toe injury but is expected to be available against the 49ers on Sunday.
D.J. Foster,ARI,RB,Knee,I-R,Foster has been placed on injured reserve after he tore his ACL and MCL in his knee.
A.Q. Shipley,ARI,OL,Knee,I-R,Shipley is on injured reserve after suffering a torn right ACL.
Datone Jones,DAL,DE,Hamstring,I-R,Jones has landed on the injured reserve list due to a hamstring injury.
Parker Ehinger,DAL,G,Knee,I-R,Ehinger is on injured reserve with a knee injury and it is yet to be determined if he will be activated against the Titans in Week 9.
Noah Brown,DAL,WR,Hamstring,I-R,Brown has been designated for injured reserve with a hamstring injury and it is undetermined if he will make his season debut against the Titans in Week 9.
C.J. Goodwin,DAL,CB,Forearm,out,Goodwin is recovering from surgery to repair a fractured forearm and there is no timetable for return.
Randy Gregory,DAL,DE,Knee,questionable,Gregory underwent arthroscopic knee surgery and it is uncertain if he will play Week 9 against the Titans.
Geoff Swaim,DAL,TE,Knee,questionable,Swaim was removed from the last game due to a sprained MCL in his right knee and his status for Week 9 against the Titans is up in the air.
Zack Martin,DAL,G,Knee,questionable,Martin sprained the MCL in his knee and it is undetermined if he will suit up Week 9 against the Titans.
Amari Cooper,DAL,WR,Concussion,questionable,Cooper is recovering from a concussion and has been recently acquired in a trade. It is undetermined if he will make his team debut against the Titans during Week 9.
Joe Thomas,DAL,LB,Foot,questionable,Thomas has missed the past two games with a foot injury and it is unclear if he will take the field against the Titans in Week 9.
Tavon Austin,DAL,WR,Groin,questionable,Austin sat out the previous game due to a groin strain and it is unknown if he will be available for Week 9 against the Titans.
Leighton Vander Esch,DAL,LB,Quadricep,questionable,Vander Esch departed the previous game due to a quadriceps contusion and it is undetermined if he will suit up against the Titans in Week 9.
Terrance Williams,DAL,WR,Foot,I-R,"Williams is on injured reserve while recovering from surgery to repair a right foot injury and if he returns, he will have to serve a three-game suspension stemming from an offseason incident. The earliest he could be reinstated is Week 16 against the Buc"
Travis Frederick,DAL,C,Illness,I-R,Frederick in on the injured reserve list as he has been diagnosed with a condition known as Guillain Barre Syndrome that impacts the autoimmune system. It is unknown if he will be activated in Week 15 against the Colts.
Jameill Showers,DAL,S,Knee,I-R,Showers is on injured reserve due to a torn ACL.
Marcus Martin,DAL,G,Toe,I-R,Martin has been designated for the injured reserve list due to a ligament tear in his right big toe.
Cedrick Wilson,DAL,WR,Shoulder,I-R,Wilson is on the injured reserve list due to a torn labrum in his shoulder and it is unclear if he will be activated during Week 9 against the Titans.
Deiontrez Mount,DEN,LB,Achilles,I-R,Mount has landed on injured reserve with an Achilles injury.
Jerrol Garcia-Williams,DEN,LB,Knee,I-R,Garcia-Williams is on the injured reserve list due to a torn ACL.
Troy Fumagalli,DEN,TE,Groin,I-R,Fumagalli is dealing with a groin injury and has landed on the injured reserve list and it is unclear if he will be activated in time for Week 9 against the Texans.
Darian Stewart,DEN,S,Stinger,questionable,Stewart left the last game due to a stinger and his availability for Sunday's tilt against the Chiefs is clouded.
Shane Ray,DEN,LB,Ankle,questionable,Ray missed the last game with injuries to his ankle and wrist. It is unknown if he will suit up against the Chiefs on Sunday.
Chad Kelly,DEN,QB,Disciplinary,doubtful,Kelly is not expected to be available against the Chiefs on Sunday due to disciplinary reasons.
Adam Jones,DEN,CB,Thigh,probable,Jones has sat out the past two games with a thigh injury but is expected to be available for Sunday's matchup against the Chiefs.
Royce Freeman,DEN,RB,Ankle,questionable,Freeman exited the previous game due to a sprained ankle and it has yet to be determined if he will face the Chiefs on Sunday.
Jared Veldheer,DEN,T,Knee,questionable,Veldheer has been held out of the previous three games due to a bone bruise in his right knee and it is unclear if he will return Sunday against the Chiefs.
Jordan Taylor,DEN,WR,Hip,I-R,Taylor is on the active PUP list as he is recovering from hip surgery and it is unclear if he will make his season debut Sunday against the Chiefs.
Emmanuel Sanders,DEN,WR,Ankle,questionable,"Sanders was lifted from the last game with ankle injury, leaving his availability up in the air for Sunday's matchup against the Chiefs."
DaeSean Hamilton,DEN,WR,Knee,questionable,Hamilton departed the previous game due to an MCL sprain in his right knee and it has yet to be established if he will be in the lineup for Sunday's matchup against the Chiefs.
Derek Wolfe,DEN,DE,Ribs,questionable,Wolfe was removed from the previous game due to injured ribs and it is uncertain if he will play against the Chiefs on Sunday.
Dymonte Thomas,DEN,S,Chest,questionable,Thomas has been held out of the previous two games due to an injured chest and his status for Sunday's contest against the Chiefs is in question.
Su'a Cravens,DEN,S,Knee,I-R,Cravens is on the Injured Reserve/Designated for Return list with a knee injury and it is undetermined if he will make his season debut against the Texans in Week 9.
Ronald Leary,DEN,G,Achilles,I-R,Leary suffered a torn Achilles and has landed on the injured reserve list.
Sam Jones,DEN,G,Back,out,Jones is sidelined due to a lower-back injury and there is no timetable for return.
Marquette King,DEN,P,Groin,I-R,King has landed on injured reserve with a groin injury.
Jake Butt,DEN,TE,Knee,I-R,Butt has been placed on IR after suffering a non-contact torn ACL in his left knee.
Jamal Carter,DEN,S,Hamstring,I-R,Carter has landed on injured reserve due to a substantial hamstring injury.
Theo Riddick,DET,RB,Knee,questionable,Riddick missed the last game due to a knee injury and it is unknown if he will play Sunday against the Seahawks.
Andy Jones,DET,WR,Undisclosed,I-R,Jones has been placed on the active PUP list due to an unspecified ailment and it is uncertain if he will play Sunday against the Seahawks.
Ezekiel Ansah,DET,DE,Shoulder,out,Ansah is sidelined with a shoulder injury and it is unknown when he will return to action.
Jamal Agnew,DET,CB,Knee,I-R,Agnew has landed on the injured reserve list due to a serious knee injury.
Nick Bawden,DET,FB,Knee,I-R,Bawden is on the injured reserve list due to a torn ACL.
Steve Longa,DET,LB,Knee,I-R,Longa has landed on injured reserve as he suffered a torn ACL.
Muhammad Wilkerson,GNB,DL,Ankle,I-R,Wilkerson had surgery to repair a significant ankle injury and has been placed on injured reserve.
Kyle Murphy,GNB,T,Ankle,I-R,Murphy has landed on the injured reserve list due to an ankle issue.
Trevor Davis,GNB,WR,Hamstring,I-R,Davis is on injured reserve due to a hamstring injury and it is unknown if he will be activated prior to Week 10 against the Dolphins.
Cole Madison,GNB,G,Personal,I-R,Madison has been placed on the IR/Did Not Report list as he is away from the team and it is uncertain when he will return.
Jake Kumerow,GNB,WR,Shoulder,I-R,Kumerow is on injured reserve due to a sprained SC joint and it is undetermined if he will be designated to return for the game against the Patriots in Week 9.
Randall Cobb,GNB,WR,Hamstring,probable,Cobb has sat out the previous three games due to a hamstring injury but is likely to return against the Rams on Sunday.
Bashaud Breeland,GNB,CB,Hamstring,questionable,Breeland has been absent from the lineup during the past two games with an injured hamstring and it is undetermined if he will play Sunday against the Rams.
Jaire Alexander,GNB,CB,Groin,questionable,Alexander has missed the previous two games due to a groin injury and it is unknown if he will be active against the Rams on Sunday.
Bryan Bulaga,GNB,T,Shoulder,questionable,Bulaga left the last game due to a shoulder injury and it is unclear if he will suit up against the Rams on Sunday.
Geronimo Allison,GNB,WR,Hamstring,probable,Allison has been held out the past two games due to a hamstring injury but is expected to return to the lineup Sunday against the Rams.
Jason Spriggs,GNB,T,Ankle,questionable,Spriggs missed the previous game due to an ankle injury and it has yet to be established if he will be available Sunday against the Rams.
Aaron Rodgers,GNB,QB,Knee,probable,Rodgers is expected to be available against the Rams on Sunday despite a sprained MCL in his left knee.
Davon House,GNB,CB,Shoulder,I-R,House has landed on injured reserve while recovering from shoulder surgery.
Jake Ryan,GNB,LB,Knee,I-R,Ryan is on injured reserve with a torn ACL.
Dylan Cole,HOU,LB,Wrist,I-R,Cole dislocated his wrist and is on injured reserve.
Bruce Ellington,HOU,WR,Hamstring,I-R,Ellington has been placed on the injured reserve list due to an injured hamstring and it is uncertain if he will return against the Titans in Week 12.
Seantrel Henderson,HOU,T,Ankle,I-R,Henderson has landed on the injured reserve list after undergoing surgery for a broken ankle.
Kevin Johnson,HOU,CB,Concussion,I-R,Johnson has been placed on injured reserve due to a concussion and it is unknown if he will be activated in time for Week 11 against the Redskins.
Jermaine Kelly,HOU,CB,Undisclosed,I-R,Kelly has been placed on injured reserve with an unspecified ailment and it is uncertain if he will be available against the Broncos in Week 9.
J.J. Watt,HOU,DE,Knee,probable,Watt was confined to a limited role in practice with injuries to both knees but it is not likely to impede his status for Thursday's matchup against the Dolphins.
Jordan Thomas,HOU,TE,Groin,probable,Thomas is battling a groin injury but is on track to participate in Thursday's game against the Dolphins.
Johnathan Joseph,HOU,CB,Hip,probable,Joseph is dealing with a hip injury but is likely to suit up Thursday against the Dolphins.
Tyrell Adams,HOU,LB,Undisclosed,I-R,Adams is on injured reserve due to an unspecified ailment.
Brennan Scarlett,HOU,LB,Groin,probable,Scarlett is nursing a groin injury but is expected to be available Thursday against the Dolphins.
DeAndre Hopkins,HOU,WR,Foot,probable,Hopkins is expected to play against the Dolphins on Thursday despite an ongoing foot injury.
Andre Hal,HOU,S,Shoulder,questionable,Hal has a shoulder injury and it is unclear if he will play Thursday against the Dolphins.
Deshaun Watson,HOU,QB,Chest,probable,Watson is likely to be available against the Dolphins on Thursday despite a lingering chest injury.
Ryan Griffin,HOU,TE,Illness,questionable,Griffin missed the last game with an illness and it is unknown if he will take the field Thursday against the Dolphins.
D'Onta Foreman,HOU,RB,Achilles,I-R,Foreman has been placed on the active PUP list as he is recovering from a torn Achilles. It is still unknown if he will be available to suit up against the Dolphins on Thursday.
Shareece Wright,HOU,CB,Shoulder,questionable,Wright missed the last game with injuries to both his shoulder and hand. It is unknown if he will be able to participate in Thursday's contest against the Dolphins.
Keke Coutee,HOU,WR,Hamstring,doubtful,Coutee left the last game with an injured hamstring and is not expected to be available for Thursday's matchup against the Dolphins.
Brian Peters,HOU,LB,Ankle,questionable,Peters has been held out of the last three games with an injured ankle and it is unclear if he will be available for Thursday's contest against the Dolphins.
Zach Fulton,HOU,C,Ankle,questionable,Fulton missed the last game with an ankle injury and it is unclear if he will face the Dolphins on Thursday.
Kayvon Webster,HOU,CB,Quadricep,I-R,Webster has been placed on injured reserve with a strained quadriceps muscle.
Aaron Colvin,HOU,CB,Ankle,out,Colvin has suffered a severe ankle injury and will be held out of action for at least six weeks.
Cam Robinson,JAX,OL,Knee,I-R,Robinson has landed on injured reserve after suffering a torn ACL.
DeAndre Goolsby,JAX,TE,Undisclosed,I-R,Goolsby is on injured reserve due to an unspecified injury.
Michael Hughes,JAX,DT,Undisclosed,I-R,Hughes is on injured reserve with an unspecified injury.
James O'Shaughnessy,JAX,TE,Hip,questionable,O'Shaughnessy missed the last game with a hip injury and his status is unclear for Sunday's tilt against the Eagles.
D.J. Hayden,JAX,CB,Toe,questionable,Hayden has missed the previous five games with a toe injury and it is unclear if he will play against the Eagles on Sunday.
Calais Campbell,JAX,DL,Stinger,questionable,Campbell departed the previous game due to a stinger and his status for Sunday's tilt against the Eagles is clouded.
Tyler Patmon,JAX,CB,Neck,questionable,Patmon exited the last game due to a neck strain and it is uncertain if he will be able to participate in Sunday's contest against the Eagles.
Carlos Hyde,JAX,RB,Acquired,questionable,Hyde missed the last game having recently been traded from the Browns to the Jaguars. It is unknown if he will be available for Sunday's matchup against the Eagles.
Tre Herndon,JAX,CB,Hamstring,questionable,Herndon has missed the last two games due to a hamstring injury and it is unknown if he will participate on Sunday against the Eagles.
Donald Payne,JAX,LB,Knee,out,Payne sustained a sprained MCL in his knee and is expected to be out three-to-four weeks.
Will Richardson,JAX,OL,Knee,I-R,Richardson Jr. has been placed on injured reserve with a knee injury.
Niles Paul,JAX,TE,Knee,I-R,Paul has been designated for the injured reserve list due to a sprained MCL in his knee and it is unknown if he will return to action against the Redskins in Week 15.
Jaydon Mickens,JAX,WR,Ankle,I-R,Mickens has been placed on injured reserve due to a fractured ankle injury and it is undetermined if he will return Week 15 against the Redskins.
Carson Tinker,JAX,LS,Knee,I-R,Tinker has been designated for injured reserve due to a knee injury.
Josh Wells,JAX,OL,Groin,I-R,Wells has been placed on injured reserve with a groin injury.
Leonard Fournette,JAX,RB,Hamstring,out,Fournette is sidelined with a hamstring injury and is likely to be held out of action until Week 10 against the Colts.
Corey Grant,JAX,RB,Foot,I-R,Grant has been placed on the injured reserve list due to a Lisfranc injury in his foot.
Austin Seferian-Jenkins,JAX,TE,Abdominal,I-R,Seferian-Jenkins has landed on injured reserve due to a core-muscle injury. He can be designated for return against the Titans in Week 14.
Marqise Lee,JAX,WR,Knee,I-R,Lee has landed on injured reserve due to ligament damage in his knee.
Step Durham,KAN,DB,Undisclosed,I-R,Durham has reverted to the injured reserve list with an unspecified injury after clearing waivers.
Tejan Koroma,KAN,OL,Knee,I-R,Koroma is on injured reserve with an unspecified injury.
J.D. Moore,KAN,RB,Undisclosed,I-R,Moore is on injured reserve with an unspecified injury.
Dillon Gordon,KAN,OL,Shoulder,I-R,Gordon is on injured reserve with a shoulder injury.
Byron Pringle,KAN,WR,Hamstring,I-R,Pringle sustained a hamstring injury and is on the injured reserve list.
Daniel Sorensen,KAN,DB,Knee,I-R,Sorensen had surgery to repair a tibia fracture and is also recovering from a torn MCL. He is expected to be sidelined for at least the first eight weeks of the season.
Justin Houston,KAN,LB,Hamstring,questionable,Houston has sat out the past two games due to a hamstring injury and it is unclear if he will suit up against the Broncos on Sunday.
Terrance Smith,KAN,LB,Knee,I-R,Smith has been placed on injured reserve due to a right knee sprain and it is unclear if he will be activated in time for Week 16 against the Seahawks.
Jordan Devey,KAN,OL,Pectoral,I-R,Devey has a pectoral injury and has been placed on injured reserve.
Mitch Morse,KAN,OL,Concussion,out,Morse suffered a concussion and will miss an undetermined length of time.
Eric Berry,KAN,DB,Achilles,out,Berry is sidelined with a bone spur that digs into the Achilles and there is no timetable for recovery.
De'Anthony Thomas,KAN,WR,Leg,I-R,Thomas is on injured reserve due to a lower-leg fracture.
Laurent Duvernay-Tardif,KAN,OL,Shin,I-R,Duvernay-Tardif is on the injured reserve list due to a broken fibula a Maisonneuve fracture in his leg.
Armani Watts,KAN,DB,Groin,I-R,Watts has been designated for the injured reserve list due to a groin injury and it is unclear if he will be activated in time for Week 14 against the Ravens.
Alex Ellis,KAN,TE,Undisclosed,I-R,Ellis is on injured reserve due to an unspecified ailment.
William Hayes,MIA,DE,Knee,I-R,Hayes is on the injured reserve list due to a torn ACL.
Josh Sitton,MIA,G,Shoulder,I-R,Sitton has a torn rotator cuff and has been placed on the injured reserve list.
MarQueis Gray,MIA,TE,Achilles,I-R,Gray has landed on the injured reserve list with a torn Achilles.
Albert Wilson,MIA,WR,Hip,I-R,Wilson has landed on injured reserve with a hip injury and it is undetermined if he will suit up Week 16 against the Jaguars.
Jonathan Woodard,MIA,DE,Concussion,probable,Woodard sat out the previous game due to a concussion but has cleared protocol and is expected to suit up for Thursday's matchup against the Texans.
Charles Harris,MIA,DE,Calf,out,Harris has been absent from the lineup during the last two games with a calf injury and will not take the field Thursday against the Texans.
Danny Amendola,MIA,WR,Shoulder,probable,Amendola has a shoulder injury but is likely to play Thursday against the Texans.
Ryan Tannehill,MIA,QB,Shoulder,out,Tannehill has sat out the previous two games with a shoulder injury and will not be available for Thursday's tilt against the Texans.
T.J. McDonald,MIA,S,Ankle,questionable,"McDonald is nursing injuries to his ankle and knee, leaving his availability up the air for Thursday's tilt against the Texans."
Mike Gesicki,MIA,TE,Shoulder,questionable,Gesicki departed the last game due to a shoulder injury and it is undetermined if he will play against the Texans on Thursday.
Jerome Baker,MIA,LB,Knee,probable,Baker has a knee contusion but is likely to be available for Thursday's clash against the Texans.
Kenny Stills,MIA,WR,Groin,out,Stills has a groin strain and it will prevent him from suiting up against the Texans on Thursday.
DeVante Parker,MIA,WR,Quadricep,probable,Parker was held out of the previous game due to an injured quadriceps muscle but is expected to be available against the Texans on Thursday.
A.J. Derby,MIA,TE,Foot,questionable,Derby has missed the past four games with a foot injury and it is unclear if he will return Thursday against the Texans.
Jake Brendel,MIA,C,Calf,I-R,Brendel is on the Injured Reserve/Designated for Return list with a calf injury and it is unknown if he will make his season debut against the Jets in Week 9.
Mike Hull,MIA,LB,Knee,I-R,Hull suffered a left knee injury during the preseason and is on the Injured Reserve/Designated for Return list. It is uncertain if he will be activated in time for Week 9 against the Jets.
Chase Allen,MIA,LB,Foot,I-R,Allen has been placed on injured reserve with a foot injury.
Luke Falk,MIA,QB,Wrist,I-R,Falk has landed on injured reserve nursing a wrist injury and is expected to miss the remainder of the 2018 season.
Daniel Kilgore,MIA,C,Arm,I-R,Kilgore has landed on injured reserve with a torn triceps muscle.
Aviante Collins,MIN,T,Elbow,I-R,Collins is on the injured reserve list due to a right elbow injury.
Johnny Stanton,MIN,FB,Leg,I-R,Stanton has landed on the injured reserve list with a leg injury.
Jabari Price,MIN,TE,Knee,I-R,Price is on the injured reserve list with a knee injury.
Dalvin Cook,MIN,RB,Hamstring,out,Cook has been held out of the past three games with a hamstring injury. He aggravated the injury and will not return Sunday against the Saints.
Tom Compton,MIN,T,Knee,questionable,Compton exited the last game with a knee injury and it is unknown if he will play in Sundays contest against the Saints.
Anthony Barr,MIN,LB,Hamstring,questionable,Barr was lifted from the last game due to a right hamstring injury and it is unknown if he will participate in Sunday's contest against the Saints.
Xavier Rhodes,MIN,CB,Ankle,questionable,Rhodes was forced from the last game due to a left ankle sprain and it is uncertain if he will be available for Sunday's contest against the Saints.
