Player,Tm,Pos,Type,Class,Details
Derek Anderson,BUF,QB,Concussion,questionable,Anderson has sat out the past four games with a concussion and it is unknown if he will be cleared in time for Sunday's contest against the Jets.
Russell Bodine,BUF,C,Shin,I-R,Bodine is on injured reserve with a broken fibula.
John Miller,BUF,G,Oblique,questionable,Miller missed the last game due to an abdominal injury and it is uncertain if he will face the Jets on Sunday.
Kevon Seymour,CAR,CB,Shoulder,I-R,Seymour has been placed on injured reserve with a shoulder injury.
Jared Norris,CAR,LB,Toe,I-R,Norris has been placed on injured reserve after having toe surgery.
Damiere Byrd,CAR,WR,Arm,I-R,Byrd has been placed on injured reserve with a broken arm.
Andre Smith,CAR,LB,Hamstring,out,Smith has been sidelined due to a hamstring injury and will miss an unknown length of time.
Fozzy Whittaker,CAR,RB,Knee,I-R,Whittaker has landed on the injured reserve list after tearing his ACL.
Trai Turner,CAR,G,Neck,probable,Turner left the last game with a neck injury but is expected to face the Browns on Sunday.
Brendan Mahon,CAR,G,Concussion,I-R,Mahon has a concussion and has been placed on the injured reserve list.
Torrey Smith,CAR,WR,Knee,probable,Smith is nursing a knee injury but is likely to be on the field Sunday against the Browns.
Greg Olsen,CAR,TE,Foot,I-R,Olsen ruptured the plantar fascia in his foot and is on injured reserve.
Mike Adams,CAR,S,Wrist,questionable,Adams is tending to a wrist injury and it has yet to be established if he will be in Sunday's lineup against the Browns.
Colin Jones,CAR,S,Illness,questionable,Jones is ailing from an illness and it is uncertain if the symptoms will subside in time for Sunday's game against the Browns.
Graham Gano,CAR,K,Knee,probable,Gano has a left knee sprain but is expected to be available against the Browns Sunday.
Amini Silatolu,CAR,G,Concussion,questionable,Silatolu has been diagnosed with a concussion and it is undetermined if he will be cleared in time for Sunday's tilt against the Browns.
Cam Newton,CAR,QB,Shoulder,probable,Newton is dealing with soreness in his surgically repaired shoulder but it is not expected to affect his status for Sunday's game against the Browns.
Matt Kalil,CAR,T,Knee,I-R,Kalil is on the injured reserve list after having arthroscopic right knee surgery conducted during the preseason and it is unclear if he will make his season debut Sunday against the Browns.
Elijah Hood,CAR,RB,Knee,I-R,Hood suffered a knee injury and is on the injured reserve list. It is unknown if he will suit up Sunday against the Browns.
Daryl Williams,CAR,T,Knee,I-R,Williams has been placed on the injured reserve list due to a knee injury. It is unknown if he will be activated in time for Sunday's contest against the Browns.
Da'Norris Searcy,CAR,S,Concussion,I-R,Searcy has been placed on Injured Reserve/Designated for Return list after recovering from a concussion and it is uncertain if he will be activated in time for Sunday's matchup against the Browns.
Ross Cockrell,CAR,CB,Shin,I-R,Cockrell is on the injured reserve list as he had surgery to repair a fractured left fibula and tibia.
Damian Parms,CAR,S,Shoulder,I-R,Parms is on injured reserve with a shoulder injury.
Andrew Trumbetti,CHI,LB,Undisclosed,I-R,Trumbetti is on injured reserve due to an unspecified ailment.
Sam Acho,CHI,LB,Pectoral,I-R,Acho has been designated for injured reserve with a torn pectoral muscle.
Dion Sims,CHI,TE,Concussion,I-R,Sims has been placed on injured reserve due to a concussion.
Kyle Long,CHI,G,Foot,I-R,Long has been placed on injured reserve and is expected to miss six-to-eight weeks due to a right foot injury.
Zach Miller,CHI,TE,Leg,I-R,Miller is expected to miss the entire 2018 season while on the PUP list as he is recuperating from vascular surgery to repair a torn popliteal artery in his dislocated left knee that ended his 2017 season.
Deon Bush,CHI,S,Hamstring,questionable,Bush has a hamstring injury and it is unclear if he will play Sunday against the Rams.
Mitchell Trubisky,CHI,QB,Shoulder,probable,Trubisky has missed the previous two games dealing with an AC joint sprain in his right shoulder but it is likely he will take the field Sunday against the Rams.
Sherrick McManis,CHI,DB,Hamstring,probable,McManis missed the last game with a hamstring injury and it is undetermined if he will suit up against the Rams on Sunday.
Benny Cunningham,CHI,RB,Ankle,questionable,Cunningham missed the last game with an ankle injury and it is unknown if he will take the field against the Rams on Sunday.
Javon Wims,CHI,WR,Knee,questionable,Wims has sat out the previous three games due to a knee injury and it is unclear if he will be available for Sunday's matchup against the Rams.
Ryan Glasgow,CIN,DT,Knee,I-R,Glasgow is on the injured reserve list with a torn ACL.
Trayvon Henderson,CIN,S,Arm,I-R,Henderson is on the injured reserve list with an arm injury.
Mason Schreck,CIN,TE,Knee,I-R,Schreck is on injured reserve due to a knee injury.
Tyler Eifert,CIN,TE,Ankle,I-R,Eifert is recovering from surgery to repair a broken right ankle while on the injured reserve list.
Jake Fisher,CIN,T,Back,I-R,Fisher is on injured reserve due to a back injury.
Andy Dalton,CIN,QB,Thumb,I-R,Dalton is on the injured reserve list due to torn ligaments in his right thumb.
Adolphus Washington,CIN,DT,Knee,I-R,Washington has been placed on injured reserve with a knee injury.
Josh Tupou,CIN,DT,Pectoral,I-R,Tupou has been placed on the injured reserve list with a pectoral injury.
Preston Brown,CIN,LB,Knee,I-R,Brown has been placed on the injured reserve list due to a knee injury.
Tyler Kroft,CIN,TE,Foot,I-R,Kroft is on the injured reserve list recovering from surgery to repair a fractured foot.
Carl Lawson,CIN,DE,Knee,I-R,Lawson suffered a torn ACL in his knee and is on the injured reserve list.
Joe Mixon,CIN,HB,Foot,probable,Mixon has a foot injury but will likely play Sunday against the Chargers.
Michael Johnson,CIN,DE,Pectoral,questionable,Johnson is nursing a pectoral injury and it is uncertain if he will be available against the Chargers on Sunday.
Carlos Dunlap,CIN,DE,Hip,questionable,Dunlap is dealing with a hip injury and it is unknown if he will suit up against the Chargers on Sunday.
A.J. Green,CIN,WR,Toe,I-R,Green sustained torn ligament in his toe on his left foot and has been placed on injured reserve.
Davontae Harris,CIN,CB,Knee,questionable,Harris has been activated from injured reserve after recovering from a knee sprain. It is unknown if he will suit up Sunday against the Chargers.
Cordy Glenn,CIN,T,Back,questionable,Glenn sat out his second-straight game due to a back injury and it is unknown if he will be active Sunday against the Chargers.
Cethan Carter,CIN,TE,Shoulder,I-R,Carter suffered a shoulder injury and is on the injured reserve list. It has yet to be established if he will return Sunday against the Chargers.
Tony McRae,CIN,CB,Concussion,questionable,McRae sat out the last game due to a concussion and it is uncertain if he will pass protocol in time for Sunday's clash against the Chargers.
Dre Kirkpatrick,CIN,CB,Foot,questionable,Kirkpatrick suffered a left foot injury in the last game and his status for Sunday's matchup against the Chargers is unclear.
Vontaze Burfict,CIN,LB,Concussion,questionable,Burfict was lifted from the previous game due to a concussion and it is uncertain if he will be cleared in time for Sunday's contest against the Chargers.
Josh Malone,CIN,WR,Hamstring,questionable,Malone has missed the past four games with a hamstring injury and it is unclear if he will face the Chargers on Sunday.
Rod Taylor,CIN,G,Knee,I-R,Taylor has landed on injured reserve with a torn ACL.
Lenny Jones,CLE,DL,Undisclosed,I-R,Jones is on injured reserve due to an unspecified ailment.
Rod Streater,CLE,WR,Neck,I-R,Streater is on the injured reserve list with a broken bone in his neck.
E.J. Gaines,CLE,DB,Concussion,I-R,Gaines has landed on the injured reserve list with a concussion.
Christian Kirksey,CLE,LB,Hamstring,I-R,Kirksey is on injured reserve due to a hamstring injury.
Howard Wilson,CLE,DB,Foot,I-R,Wilson is on the injured reserve list due to patellar tendon surgery.
Ricardo Louis,CLE,WR,Neck,I-R,Louis has landed on the injured reserve list due to neck surgery.
J.C. Tretter,CLE,OL,Ankle,probable,Tretter is tending to an ankle injury but is expected to be active Sunday against the Panthers.
Duke Johnson,CLE,RB,Personal,questionable,Johnson Jr. is tending to a personal matter and it is uncertain if he will line up against the Panthers on Sunday.
Phillip Gaines,CLE,CB,Knee,questionable,Gaines is dealing with a knee injury and it is unknown if he will be a participant in Sunday's matchup against the Panthers.
David Njoku,CLE,TE,Knee,probable,Njoku is expected to play Sunday against the Panthers despite a knee injury.
Austin Corbett,CLE,OL,Foot,questionable,Corbett sat out the previous game due to a foot injury and it is uncertain if he will face the Panthers on Sunday.
Denzel Ward,CLE,DB,Concussion,questionable,Ward left the previous game with a concussion and it is undetermined if he will be cleared in time for Sunday's matchup against the Panthers.
Desmond Harrison,CLE,OL,Illness,questionable,Harrison has missed the last four games with an illness and it is unknown if he will return to the lineup against the Panthers on Sunday.
Derrick Willies,CLE,WR,Shoulder,I-R,Willies has been placed on injured reserve with a shoulder injury and it is unknown if he will be activated Sunday against the Panthers.
Larry Ogunjobi,CLE,DL,Bicep,questionable,Ogunjobi left the last game due to a biceps injury and his status is in question for Sunday's contest against the Panthers.
Terrance Mitchell,CLE,DB,Forearm,probable,Mitchell has been activated from the Injured Reserve/Designated for Return list after healing from a fractured forearm and is likely to be available Sunday against the Panthers.
Ronald Martin,IND,S,Shoulder,I-R,Martin has been placed on injured reserve due to a shoulder injury.
James Wright,IND,WR,Knee,I-R,Wright has reverted to the injured reserve list after passing through waivers with a knee injury.
J'Marcus Webb,IND,T,Hamstring,I-R,Webb is on the injured reserve list due to a hamstring injury.
Brad Kaaya,IND,QB,Back,I-R,Kaaya is on injured reserve with a back injury.
Ross Travis,IND,TE,Knee,I-R,Travis has been designated for injured reserve due to a torn ACL.
Jihad Ward,IND,DT,Ankle,I-R,Ward has been placed on the injured reserve due to damage to the ligaments in his left ankle.
Marcus Johnson,IND,WR,Ankle,I-R,Johnson is recovering from surgery to repair a torn ligament in his right ankle while on the injured reserve list.
Matt Slauson,IND,C,Back,I-R,Slauson has landed on the injured reserve list due to two cracked vertebrae in his back.
Jack Doyle,IND,TE,Kidney,I-R,Doyle is on the injured reserve list after recovering from a procedure he had conducted on his kidney.
D.J. Killings,IND,CB,Ankle,I-R,Killings has been placed on injured reserve with an ankle injury.
Matthias Farley,IND,S,Hamstring,I-R,Farley is battling a hamstring injury and has been placed on injured reserve.
Carroll Phillips,IND,DE,Groin,I-R,Phillips is on the injured reserve list due to a groin injury.
Dontrelle Inman,IND,WR,Shoulder,questionable,Inman is battling a shoulder injury and it is uncertain if he will appear in Sunday's game against the Texans.
T.Y. Hilton,IND,WR,Shoulder,probable,Hilton has a shoulder injury but is expected to play Sunday against the Texans.
Eric Ebron,IND,TE,Back,probable,Ebron is expected to be out on the field Sunday against the Texans despite a back injury and an illness.
Clayton Geathers,IND,S,Knee,questionable,"Geathers is hampered by a knee injury, leaving his availability against the Texans on Sunday up in the air."
Margus Hunt,IND,DT,Knee,questionable,Hunt is hobbled by a knee injury and it is unknown if he will be a participant in Sunday's tilt against the Texans.
Nate Hairston,IND,CB,Ankle,questionable,Hairston hurt his ankle and his status is clouded for Sunday's clash against the Texans.
Erik Swoope,IND,TE,Knee,questionable,Swoope is dealing with a knee injury and it is unknown if he will suit up against the Texans on Sunday.
Chester Rogers,IND,WR,Groin,questionable,Rogers is bothered by a groin injury and it is undetermined if he will be active Sunday against the Texans.
Christopher Milton,IND,CB,Hamstring,questionable,Miton injured his hamstring and it has yet to be determined if he will compete against the Texans on Sunday.
Hassan Ridgeway,IND,DT,Illness,questionable,Ridgeway has been held out of the past four games due to an illness and it is unclear if he will return to the lineup against the Texans on Sunday.
Mike Mitchell,IND,S,Calf,questionable,Mitchell exited the previous game due to a calf injury and his status Sunday against the Texans is up in the air.
Ryan Kelly,IND,C,Knee,questionable,Kelly sat out his second-straight game due to a sprained MCL and it is unknown if he will participate in Sunday's matchup against the Texans.
Mo Alie-Cox,IND,TE,Calf,questionable,Alie-Cox has missed the last two games due to a calf injury and it is uncertain if he will take the field Sunday against the Texans.
Deon Cain,IND,WR,Knee,I-R,Cain has landed on injured reserve as he suffered a torn ACL.
Gabe Martin,ARI,LB,Achilles,I-R,Martin is recovering from an Achilles injury while on injured reserve.
Jonathan Owens,ARI,S,Knee,I-R,Owens is on injured reserve with a knee ailment.
Jeremy Cash,ARI,LB,Knee,I-R,Cash is on injured reserve due to a knee injury.
Jeremy Vujnovich,ARI,G,Hamstring,I-R,Vujnovich has a hamstring injury and been placed on injured reserve.
Phil Dawson,ARI,K,Hip,I-R,Dawson is on injured reserve with a hip injury.
Josh Bynes,ARI,LB,Thumb,I-R,Bynes has been placed on injured reserve due to a substantial thumb injury.
Justin Pugh,ARI,OL,Knee,I-R,Pugh has been designated for the injured reserve list with a torn MCL in his left knee.
John Wetzel,ARI,OL,Neck,I-R,Wetzel has been placed on injured reserve due to a neck injury.
Markus Golden,ARI,DE,Knee,questionable,Golden is tending to a knee injury and it is unclear if he will play Sunday against the Lions.
Chad Williams,ARI,WR,Ankle,probable,Williams sat out his fourth-straight game with an ankle injury but is likely to return Sunday against the Lions.
D.J. Humphries,ARI,OL,Knee,I-R,Humphries has landed on injured reserve due to a knee injury.
Budda Baker,ARI,S,Knee,questionable,Baker left the previous game due to a knee injury and it has yet to be established if he will be in the lineup against the Lions on Sunday.
Deone Bucannon,ARI,LB,Chest,questionable,Bucannon has been held out of the past two games due to an injured chest and it is uncertain if he will take the field against the Lions on Sunday.
Olsen Pierre,ARI,DT,Knee,I-R,Pierre has landed on injured reserve due to a knee injury.
Mike Iupati,ARI,OL,Knee,I-R,Iupati is on injured reserve with an injured knee.
Christian Kirk,ARI,WR,Foot,I-R,Kirk has been placed on the injured reserve list due to a broken foot.
D.J. Foster,ARI,RB,Knee,I-R,Foster has been placed on injured reserve after he tore his ACL and MCL in his knee.
A.Q. Shipley,ARI,OL,Knee,I-R,Shipley is on injured reserve after suffering a torn right ACL.
Datone Jones,DAL,DE,Hamstring,I-R,Jones has landed on the injured reserve list due to a hamstring injury.
C.J. Goodwin,DAL,CB,Forearm,I-R,Goodwin has landed on the injured reserve as he recovers from surgery to repair a fractured forearm.
Tavon Austin,DAL,WR,Groin,out,Austin is sidelined due to a groin strain and there is no timetable for recovery.
Geoff Swaim,DAL,TE,Wrist,out,Swain had surgery to fix a broken bone in his wrist and will miss three-to-four weeks.
David Irving,DAL,DL,Ankle,out,Irving has a high-ankle sprain and is expected to miss four-to-six weeks.
Cole Beasley,DAL,WR,Foot,probable,Beasley is dealing with a foot injury but is likely to suit up against the Eagles on Sunday.
Chidobe Awuzie,DAL,CB,Illness,questionable,Awuzie is ailing from an illness and it is unclear if he will play Sunday against the Eagles.
Xavier Su'a-Filo,DAL,G,Ankle,questionable,Su'a-Filo is dealing with an ankle injury and it is unknown if he will suit up Sunday against the Eagles.
Parker Ehinger,DAL,G,Knee,I-R,Ehinger is on injured reserve with a knee injury and it has yet to be determined if he will be activated prior to Sunday's matchup against the Eagles.
Terrance Williams,DAL,WR,Foot,I-R,Williams is on injured reserve while recovering from surgery to repair a right foot injury and it is uncertain if he will return Sunday against the Eagles.
Sean Lee,DAL,LB,Hamstring,questionable,Lee suffered a hamstring injury and it is undetermined if he will return to action against the Eagles on Sunday.
Cedrick Wilson,DAL,WR,Shoulder,I-R,Wilson is on the injured reserve list due to a torn labrum in his shoulder and it is unclear if he will be activated in time for Sunday's game against the Eagles.
Tyron Smith,DAL,T,Stinger,probable,Smith has sat out the past two games due to a stinger but is likely to take the field Sunday against the Eagles.
Travis Frederick,DAL,C,Illness,I-R,Frederick in on the injured reserve list as he has been diagnosed with a condition known as Guillain Barre Syndrome that impacts the autoimmune system.
Jameill Showers,DAL,S,Knee,I-R,Showers is on injured reserve due to a torn ACL.
Marcus Martin,DAL,G,Toe,I-R,Martin has been designated for the injured reserve list due to a ligament tear in his right big toe.
Deiontrez Mount,DEN,LB,Achilles,I-R,Mount has landed on injured reserve with an Achilles injury.
Jerrol Garcia-Williams,DEN,LB,Knee,I-R,Garcia-Williams is on the injured reserve list due to a torn ACL.
Ronald Leary,DEN,G,Achilles,I-R,Leary suffered a torn Achilles and has landed on the injured reserve list.
Jake Butt,DEN,TE,Knee,I-R,Butt has been placed on IR after suffering a non-contact torn ACL in his left knee.
Jeff Heuerman,DEN,TE,Ribs,I-R,Heurman has been designated for the injured reserve list with three broken ribs and a bruised lung.
Shaquil Barrett,DEN,LB,Hip Flexor,out,Barrett is expected to miss three-to-four weeks due to a hip flexor injury.
Max Garcia,DEN,G,Knee,I-R,Garcia has a torn ACL and is on the injured reserve list.
Matt Paradis,DEN,C,Shin,I-R,Paradis has been placed on the injured reserve list due to a fractured right fibula.
Jordan Taylor,DEN,WR,Hip,I-R,Taylor is on the active PUP list as he is recovering from hip surgery.
Tramaine Brock,DEN,DB,Ribs,doubtful,Brock missed the last game due to injured ribs and is not expected to be available for Sunday's clash against the 49ers.
Emmanuel Sanders,DEN,WR,Achilles,I-R,Sanders suffered a torn left Achilles and is on the injured reserve list.
Josey Jewell,DEN,LB,Ankle,probable,Jewell exited the last game due to an ankle sprain but is likely to partake in Sunday's matchup against the 49ers.
Nico Falah,DEN,G,Concussion,questionable,Falah has been held out of the past five games with a concussion and it is unknown if he will be cleared in time for Sunday's contest against the 49ers.
Derek Wolfe,DEN,DE,Ribs,questionable,Wolfe departed the previous game due to injured ribs and it is uncertain if he will face the 49ers on Sunday.
Troy Fumagalli,DEN,TE,Groin,I-R,Fumagalli is dealing with a groin injury and has landed on the injured reserve list. It is unclear if he will be activated in time for Sunday's game against the 49ers.
Brandon Marshall,DEN,LB,Knee,probable,Marshall has sat out the previous four games due to a bone bruise in his knee but is expected to return to the lineup against the 49ers on Sunday.
Chris Harris,DEN,CB,Shin,out,Harris Jr. suffered a fractured fibula. He is eyeing a return for Week 17 against the Chargers.
Jamal Carter,DEN,S,Hamstring,I-R,Carter has landed on injured reserve due to a substantial hamstring injury.
Marvin Jones,DET,WR,Knee,I-R,Jones Jr. has been designated for the injured reserve list due to a knee contusion.
T.J. Lang,DET,G,Neck,I-R,Lang is on injured reserve due to a neck injury.
Nick Bawden,DET,FB,Knee,I-R,Bawden is on the injured reserve list due to a torn ACL.
Kenny Golladay,DET,WR,Quadricep,probable,Golladay has a quadriceps injury but is projected to play Sunday against the Cardinals.
Bruce Ellington,DET,WR,Back,probable,Ellington is dealing with a back injury but is expected to suit up against the Cardinals on Sunday.
Ezekiel Ansah,DET,DE,Neck,questionable,Ansah was confined to a limited role in practice due to a neck injury and his status for Sunday's game against the Cardinals is in question.
Michael Roberts,DET,TE,Shoulder,probable,Roberts missed the last game with a shoulder injury but is likely to partake in Sunday's clash against the Cardinals.
Matthew Stafford,DET,QB,Back,probable,Stafford is likely to be available Sunday against the Cardinals despite a back injury.
Jalen Reeves-Maybin,DET,LB,Neck,I-R,Reeves-Maybin has landed on injured reserve due to a neck injury.
Kerryon Johnson,DET,RB,Knee,doubtful,Johnson has missed the past two games due to a left knee sprain and is not expected to return Sunday against the Cardinals.
Brandon Powell,DET,WR,Calf,questionable,Powell was held out of the previous game due to a calf injury and it is undetermined if he will appear in the lineup against the Cardinals on Sunday.
Nick Bellore,DET,FB,Ankle,questionable,Bellore sat out the previous game with an ankle injury and it is unknown if he will face the Cardinals on Sunday.
Trevor Bates,DET,LB,Ankle,questionable,Bates was absent from the lineup during the last game due to an ankle injury and his status for Sunday's contest against the Cardinals is clouded.
Jamal Agnew,DET,CB,Knee,I-R,Agnew is on the Injured Reserve/Designated for Return list with a knee injury. The earliest he can be activated is against the Cardinals on Sunday.
Devon Kennard,DET,LB,Hip,questionable,Kennard left the previous game with an injured hip and his availability is up in the air for Sunday's matchup against the Cardinals.
Steve Longa,DET,LB,Knee,I-R,Longa has landed on injured reserve as he suffered a torn ACL.
Muhammad Wilkerson,GNB,DL,Ankle,I-R,Wilkerson had surgery to repair a significant ankle injury and has been placed on injured reserve.
Kyle Murphy,GNB,T,Ankle,I-R,Murphy has landed on the injured reserve list due to an ankle issue.
Davon House,GNB,CB,Shoulder,I-R,House has landed on injured reserve while recovering from shoulder surgery.
Nick Perry,GNB,LB,Knee,I-R,Perry has been placed on injured reserve with a knee injury.
Cole Madison,GNB,G,Personal,I-R,Madison has been placed on the IR/Did Not Report list as he is away from the team and will not return.
Geronimo Allison,GNB,WR,Groin,I-R,Allison has been placed on injured reserve with a core-muscle injury.
Hunter Bradley,GNB,LS,Ankle,questionable,Bradley injured his ankle and it is undetermined if it will prevent him from playing against the Falcons on Sunday.
Jimmy Graham,GNB,TE,Thumb,probable,Graham is expected to suit up against the Falcons on Sunday despite thumb and knee injuries.
Tra Carson,GNB,HB,Ribs,I-R,Carson is on injured reserve with injured ribs.
Lane Taylor,GNB,G,Foot,questionable,Taylor injured his foot and it has yet to be determined if he will face the Falcons on Sunday.
Clay Matthews,GNB,LB,Ankle,questionable,"Matthews is tending to an ankle injury, leaving his availability against the Falcons on Sunday hazy."
Kevin King,GNB,CB,Hamstring,I-R,King has landed on injured reserve due to an injured hamstring.
Randall Cobb,GNB,WR,Hamstring,questionable,Cobb has a hamstring injury and it is unclear if he will play Sunday against the Falcons.
Bryan Bulaga,GNB,T,Knee,questionable,Bulaga left the last game due to a knee injury and his status for Sunday's contest against the Falcons is clouded.
Bashaud Breeland,GNB,CB,Groin,questionable,Breeland has sat out the previous two games due to a groin injury and it is unknown if he will be in the lineup against the Falcons on Sunday.
Byron Bell,GNB,T,Knee,questionable,Bell exited the previous game with a knee injury and it is undetermined if he will be active Sunday against the Falcons.
Raven Greene,GNB,S,Ankle,questionable,Greene missed his second-straight game due to an ankle injury and it is unknown if he will take the field Sunday against the Falcons.
Ibraheim Campbell,GNB,S,Undisclosed,I-R,Campbell is on injured reserve due to an unspecified ailment.
Kentrell Brice,GNB,S,Concussion,questionable,"Brice was held out of the last game with a concussion and left ankle injury, leaving his availability for Sunday's matchup against the Falcons up in the air."
Mike Daniels,GNB,DL,Foot,I-R,Daniels is on injured reserve with a foot injury.
Trevor Davis,GNB,WR,Hamstring,I-R,Davis is on injured reserve due to a hamstring injury.
Jake Ryan,GNB,LB,Knee,I-R,Ryan is on injured reserve with a torn ACL.
Seantrel Henderson,HOU,T,Ankle,I-R,Henderson has landed on the injured reserve list after undergoing surgery for a broken ankle.
Will Fuller,HOU,WR,Knee,I-R,Fuller V is on the injured reserve list due to a torn ACL in his right knee.
Kayvon Webster,HOU,CB,Quadricep,I-R,Webster has been placed on injured reserve with a strained quadriceps muscle.
Kendall Lamm,HOU,T,Concussion,probable,Lamm was lifted from the last game with concussion but is likely to be cleared in time for Sunday's matchup against the Colts.
Kareem Jackson,HOU,CB,Groin,questionable,Jackson is hampered by a groin injury and it is unknown if he will suit up against the Colts on Sunday.
Deshaun Watson,HOU,QB,Shoulder,probable,Watson is expected to be available against the Colts on Sunday despite a shoulder injury.
Justin Reid,HOU,S,Shoulder,questionable,"Joseph is bothered by injuries to his shoulder and wrist, leaving his status clouded for Sunday's game against the Colts."
DeAndre Hopkins,HOU,WR,Foot,probable,Hopkins is expected to be in Sunday's lineup against the Colts despite an ongoing foot injury.
D'Onta Foreman,HOU,RB,Achilles,probable,Foreman has been activated from the PUP list after recovering from a torn Achilles and is expected to make his season debut against the Colts on Sunday.
Trevor Daniel,HOU,P,Hip,questionable,Danile is tending to a right hip injury and it is unclear if he will play Sunday against the Colts.
J.J. Watt,HOU,DE,Knee,questionable,Watt is hobbled by a knee injury and it is undetermined if he will be on the field for Sunday's clash against the Colts.
Brennan Scarlett,HOU,LB,Ankle,questionable,Scarlett left the last game with an ankle injury and his availability is clouded for Sunday's matchup against the Colts.
Johnathan Joseph,HOU,CB,Neck,questionable,Joseph exited the previous game due to a neck injury it is undetermined if he will face the Colts on Sunday.
Duke Ejiofor,HOU,LB,Shoulder,questionable,Ejiofor has sat out the past three games due to a shoulder injury and it is uncertain if he will return Sunday against the Colts.
Keke Coutee,HOU,WR,Hamstring,questionable,Coutee missed the previous game due to an injured hamstring and it is undetermined if he will be active Sunday against the Colts.
Jermaine Kelly,HOU,CB,Undisclosed,I-R,Kelly has been placed on injured reserve with an unspecified ailment and it is uncertain if he will be available against the Colts on Sunday.
Kevin Johnson,HOU,CB,Concussion,I-R,Johnson has been placed on injured reserve due to a concussion and it is unknown if he will be activated in time for Sunday's matchup against the Colts.
Zach Fulton,HOU,C,Hand,questionable,Fulton departed the previous game due to a hand injury and his status Sunday against the Colts is up in the air.
Cam Robinson,JAX,OL,Knee,I-R,Robinson has landed on injured reserve after suffering a torn ACL.
Michael Hughes,JAX,DT,Undisclosed,I-R,Hughes is on injured reserve with an unspecified injury.
Donald Payne,JAX,LB,Knee,I-R,Payne has been placed on the injured reserve list due to a sprained MCL in his knee and it is unknown if he will be activated in time for Week 16 against the Dolphins.
Will Richardson,JAX,OL,Knee,I-R,Richardson Jr. has been placed on injured reserve with a knee injury.
Niles Paul,JAX,TE,Knee,I-R,Paul has been designated for the injured reserve list due to a sprained MCL in his knee and it is unknown if he will return to action against the Redskins in Week 15.
Jaydon Mickens,JAX,WR,Ankle,I-R,Mickens has been placed on injured reserve due to a fractured ankle injury and it is undetermined if he will return Week 15 against the Redskins.
Josh Wells,JAX,OL,Groin,I-R,Wells has been placed on injured reserve with a groin injury.
Carson Tinker,JAX,LS,Knee,I-R,Tinker has been designated for injured reserve due to a knee injury.
Corey Grant,JAX,RB,Foot,I-R,Grant has been placed on the injured reserve list due to a Lisfranc injury in his foot.
Andrew Norwell,JAX,OL,Ankle,I-R,Norwell has landed on the injured reserve list due to a severe ankle sprain.
Brandon Linder,JAX,OL,Knee,I-R,Linder suffered a right knee injury and is on injured reserve.
Jalen Ramsey,JAX,CB,Knee,probable,Ramsey is nursing a knee injury but is likely to be available Thursday against the Titans.
Calais Campbell,JAX,DL,Ankle,probable,Campbell has an ankle injury but is projected to play Thursday against the Titans.
Abry Jones,JAX,DT,Shin,out,Jones was lifted from the last game with a shin contusion and will not play in Thursday's clash against the Titans.
DJ Chark,JAX,WR,Quadricep,out,Chark Jr. has been absent from the lineup during the previous two games with an injured quadriceps and will not be a participant in Thursday's contest against the Titans.
Jermey Parnell,JAX,OL,Foot,probable,Parnell left the previous game due to a foot injury but is expected to be active against the Titans on Thursday.
