Player,Tm,Pos,Type,Class,Details
Destiny Vaeao,CAR,,Quadricep,I-R,Vaeao is on injured reserve due to a quadriceps injury.
Dillon Gordon,CAR,,Shoulder,I-R,Gordon has been designated for injured reserve due to a shoulder injury.
Anthony Miller,CHI,WR,Ankle,probable,Miller is dealing with a sprained ankle but is likely to be available for the home opener against the Packers.
Bilal Nichols,CHI,DT,Knee,probable,Nichols is dealing with a knee injury but is likely to face the Packers on opening night.
Trey Burton,CHI,TE,Hernia,questionable,Burton had offseason sports hernia surgery and is also dealing with a mild groin strain. It is unclear if he will play in the home opener against the Packers.
Joshua Simmons,CHI,,Undisclosed,I-R,Simmons has reverted to the injured reserve list after clearing waivers with an unspecified injury.
Rashaad Coward,CHI,NT,Elbow,questionable,"Coward has an elbow injury, and it is unknown if he will suit up against the Packers on Thursday."
Blake Blackmar,CHI,,Ankle,I-R,Blackmar is on injured reserve with an ankle injury.
Dax Raymond,CHI,,Concussion,I-R,Raymond has hit the injured reserve list with a concussion.
T.J. Clemmings,CHI,,Quadricep,I-R,Clemmings has been placed on the injured reserve list due to a quadriceps injury.
Carl Lawson,CIN,DE,Knee,probable,Lawson is recuperating from a previously torn ACL in his right knee. It is anticipated that he will be available against the Seahawks on Sunday.
Clayton Fejedelem,CIN,SS,Ankle,probable,Fejedelem is healing from an ankle injury but is expected to be in Sunday's lineup against the Seahawks.
Tyler Eifert,CIN,TE,Ankle,probable,"Eifert is recovering from surgery to repair a broken right ankle, but he is projected to suit up against the Seahawks on Sunday."
Auden Tate,CIN,WR,Knee,questionable,"Tate has a knee injury, and it is unclear if he will be active versus the Seahawks on Sunday."
Cordy Glenn,CIN,T,Concussion,questionable,"Glenn is going through the league-mandated concussion protocol, and it is unknown if he will be cleared in time for Sunday's clash against the Seahawks."
Trayveon Williams,CIN,RB,Foot,questionable,"Williams suffered a left foot injury during the preseason, and it remains unclear if he will be available for Sunday's matchup against the Seahawks."
John Ross,CIN,WR,Hamstring,probable,Ross is tending to a hamstring injury but is expected to take the field against the Seahawks on Sunday.
O'Shea Dugas,CIN,,Undisclosed,I-R,"Dugas has been designated for the injured reserve list with an unspecified injury, and it is undetermined when he will be activated."
Rodney Anderson,CIN,,Knee,I-R,Anderson has wound up on the injured reserve list with a torn right ACL.
Jonah Williams,CIN,,Shoulder,I-R,Williams is recovering from shoulder surgery to repair a torn labrum and has been added to the PUP list. He is expected to miss the entire 2019 season.
Jeff Driskel,CIN,,Hamstring,I-R,Driskel has reverted to the injured reserve list with a hamstring injury.
Alex Redmond,CIN,,Suspension,out,Redmond has been given a four-game suspension for violating the league's policy on performance-enhancing drugs. He is eligible to be reinstated in time for Week 5 against the Cardinals.
Darqueze Dennard,CIN,,Knee,I-R,Dennard has been placed on the PUP list while recuperating from an offseason knee scope. It is uncertain when he will officially return.
A.J. Green,CIN,WR,Ankle,out,Green is expected to miss six to eight weeks while he recovers from surgery to repair torn ligaments in his left ankle.
Niles Scott,CIN,,Foot,I-R,Scott has hit the injured reserve list due to a foot ailment.
Sione Takitaki,CLE,LB,Hamstring,questionable,"Takitaki is nursing a hamstring injury, and it is uncertain if he will be active for Sunday's tilt against the Titans."
Odell Beckham,CLE,WR,Hip,probable,Beckham Jr. is expected to be good to go for the season opener against the Titans despite a hip injury.
T.J. Carrie,CLE,CB,Leg,probable,Carrie is sidelined with a non-contact leg injury but is likely to play Sunday against the Titans.
Antonio Callaway,CLE,,Suspension,out,Callaway has been issued a four-game suspension for violating the league's substance-abuse policy and is also dealing with a high-ankle sprain. He is expected to be reinstated in time for Week 5 against the 49ers.
Kareem Hunt,CLE,,Suspension,out,Hunt has been suspended eight games for his role in an off-field incident and underwent surgery to fix a sports hernia. He is likely to be reinstated in time for Week 10 against the Bills.
Rico Gathers,CLE,,Suspension,out,Gathers has been handed a one-game suspension for violating the league's substance-abuse policy but is likely to make his season debut against the Jets.
Phillip Gaines,CLE,,Neck,I-R,Gaines has been placed on injured reserve with a neck injury.
Drew Forbes,CLE,,Knee,I-R,"Forbes has landed on injured reserve due to a knee injury, and it is unclear how much time he will need to heal."
D.J. Montgomery,CLE,,Hamstring,I-R,Montgomery is on injured reserve due to a hamstring injury.
Adarius Taylor,CLE,ML,Concussion,out,"Taylor is going through the league-mandated concussion protocol, and it is unknown when he will be cleared to return."
Lo Falemaka,CLE,,Shoulder,I-R,Falemaka has reverted to the injured reserve list after clearing waivers with a shoulder injury.
Devin Funchess,IND,WR,Back,probable,"Funchess has a back injury, but it is unlikely to deter him from suiting up against the Chargers on Sunday."
Quenton Nelson,IND,G,Ankle,probable,"Nelson is battling an ankle injury, but he is expected to line up against the Chargers on Sunday."
Isaiah Johnson,IND,,Undisclosed,I-R,Johnson has been placed on injured reserve with an unspecified ailment.
Jordan Wilkins,IND,RB,Ankle,questionable,"Wilkins is nursing an ankle injury, and it is unclear if he will play against the Chargers on Sunday."
Shakial Taylor,IND,,Head,I-R,Taylor has wound up on the injured reserve list with a head injury.
Jack Doyle,IND,TE,Kidney,probable,Doyle is recovering from kidney surgery and is also dealing with a hip injury. He is expected to play against the Chargers on Sunday.
Parris Campbell,IND,WR,Hamstring,questionable,"Campbell is tending to a hamstring injury, leaving his availability for Sunday's contest against the Chargers hazy."
Kenny Moore,IND,CB,Thumb,probable,Moore II will likely take part in the season opener against the Chargers despite a broken thumb.
Deon Cain,IND,WR,Knee,probable,Cain is on the mend from a torn ACL he suffered during the 2018 season. He is likely to be ready for Sunday's tilt against the Chargers.
Jegs Jegede,IND,,Undisclosed,I-R,Jegede has been placed on injured reserve due to an unspecified ailment.
Javon Patterson,IND,,Knee,I-R,Patterson is on the injured reserve list with a torn ACL.
Chad Kelly,IND,,Suspension,out,Kelly has been handed a two-game suspension for violating the league's personal conduct policy. He is expected to make his season debut against the Falcons in Week 3.
Daurice Fountain,IND,,Ankle,I-R,Fountain has hit the injured reserve list after having surgery to fix a dislocated and fractured left ankle.
Jonathan Williams,IND,RB,Ribs,out,Williams is hampered by a broken rib and will miss an unknown length of time.
Steve Ishmael,IND,,Knee,I-R,Ishmael is on injured reserve due to a knee injury.
Jabaal Sheard,IND,DE,Knee,out,Sheard will miss an extended length of time due to a knee operation.
Billy Brown,IND,,Undisclosed,I-R,Brown has hit the injured reserve list due to an unspecified ailment.
Spencer Ware,IND,,Ankle,I-R,Ware has been placed on the PUP list with after having ankle surgery and is without a clear timetable for return.
Haason Reddick,ARI,IL,Knee,probable,"Reddick is recovering from a knee scope, but he is projected to be available for Sunday's matchup against the Lions."
Zeke Turner,ARI,OL,Hand,questionable,Turner was confined to a limited role in practice with a hand injury. His status is hazy for Sunday's clash with the Lions.
Lamont Gaillard,ARI,G,Knee,questionable,"Gaillard is battling a knee injury, and it has yet to be determined if he will be active Sunday against the Lions."
D.J. Humphries,ARI,T,Knee,questionable,"Humphries is dealing with a right knee injury, and it is unclear if he will play against the Lions on Sunday."
Brandon Williams,ARI,,Shoulder,I-R,Williams has reverted to injured reserve after clearing waivers with a shoulder injury.
Pita Taumoepenu,ARI,,Hamstring,I-R,Taumopenu has been added to injured reserve due to a hamstring injury.
William Sweet,ARI,,Foot,I-R,Sweet has been placed on the injured reserve list with a foot injury.
D.J. Foster,ARI,RB,Knee,questionable,"Foster is on the mend from surgery to repair a torn ACL, and it is uncertain if he will be ready for Sunday's contest against the Lions."
Robert Alford,ARI,,Shin,I-R,Alford is on injured reserve due to a fractured tibia and is without a timetable for return.
Max Garcia,ARI,,Knee,I-R,Garcia has been designated for the PUP list while he recovers from a torn ACL that ended his 2018 season. It is unknown when he will be ready to suit up for game action.
Patrick Peterson,ARI,,Suspension,out,Peterson has been given a six-game suspension for violating the league's policy on performance-enhancing drugs. He is expected to be reinstated in time for Week 7 against the Giants.
Josh Shaw,ARI,,Shoulder,I-R,Shaw has hit the injured reserve list due to a shoulder injury.
Hakeem Butler,ARI,,Finger,I-R,Butler has been ticketed for the injured reserve list with an avulsion fracture in his finger.
Justin Pugh,ARI,G,Shoulder,out,Pugh is projected to miss several weeks due to a shoulder injury.
Donovan Wilson,DAL,DB,Ankle,questionable,"Wilson is dealing with an ankle injury, and it is unknown if he will face the Giants on Sunday."
Luke Gifford,DAL,LB,Ankle,doubtful,"Gifford sustained a sprained ankle, leaving his availability for Sunday's game against the Giants unlikely."
Darian Thompson,DAL,FS,Ankle,questionable,"Thompson is tending to an ankle injury, leaving his status for Sunday's contest against the Giants in question."
Tyron Smith,DAL,T,Back,probable,Smith is projected to line up against the Giants on Sunday despite a back injury.
Zack Martin,DAL,G,Back,probable,"Martin is dealing with a disc issue in his back, but he is likely to play in the season opener against the Giants."
Travis Frederick,DAL,C,Illness,probable,Frederick is expected to play Sunday against the Giants after sitting out the entire 2018 season due complications stemming from a condition known as Guillain-Barre syndrome.
Sean Lee,DAL,IL,Knee,probable,Lee is dealing with a knee injury but is expected to be ready for Sunday's contest against the Giants.
Demarcus Lawrence,DAL,DE,Shoulder,probable,Lawrence is on the mend from shoulder surgery but is expected to be ready to face the Giants on Sunday.
Connor McGovern,DAL,,Pectoral,I-R,McGovern has been placed on the injured reserve list due to a partially torn pectoral muscle and is in danger of missing the entire 2019 season.
Chris Westry,DAL,,Hamstring,I-R,Westry has landed on the injured reserve list with a hamstring injury.
Daniel Ross,DAL,,Shoulder,I-R,Ross has hit the injured reserve list due to a shoulder injury.
Jon'Vea Johnson,DAL,,Shoulder,I-R,Johnson is on the injured reserve list with a shoulder injury.
Robert Quinn,DAL,,Hand,out,Quinn had surgery to correct a broken left hand and has also been suspended for two games due to violating the league's substance abuse policy. he is expected to be reinstated for Week 3 against the Dolphins.
Jalen Jelks,DAL,,Foot,I-R,Jelks will spend an undetermined length of time on injured reserve due to a left foot sprain.
Lance Lenoir,DAL,,Knee,I-R,Lenoir Jr. is on the injured reserve list due to patellar tendon surgery.
Cody Wichmann,DAL,,Calf,I-R,Wichmann is projected to be sidelined for an extended period while on injured reserve due to a calf injury.
Noah Brown,DAL,,Knee,I-R,Brown has been placed on the PUP list while recovering from arthroscopic knee surgery. There is no timetable for return.
Randy Gregory,DAL,,Suspension,out,Gregory has been suspended for an undermined length of time due to violating the league's substance abuse policy.
Brandon Knight,DAL,T,Foot,out,Knight will spend an undetermined length of time on the sidelines due to a torn plantar fascia.
Bryce Callahan,DEN,CB,Foot,questionable,"Callahan has a foot injury, and it is unknown if he will be active Monday against the Raiders."
Trey Marshall,DEN,SS,Neck,questionable,"Marshall is managing a neck injury, and it is uncertain if he will be a participant in Monday's tilt versus the Raiders."
Todd Davis,DEN,IL,Calf,probable,Davis is nursing a calf injury but is projected to suit up against the Raiders on Monday.
Phillip Lindsay,DEN,RB,Wrist,probable,Lindsay is expected to be ready to play against the Raiders on Monday despite having offseason surgery to repair a right wrist injury.
Ronald Leary,DEN,G,Achilles,probable,Leary is on the mend from a torn Achilles tendon that caused him to sit out most of the 2018 season but is expected to suit up Monday against the Raiders.
Isaac Yiadom,DEN,CB,Shoulder,probable,"Yiadom is rehabbing a shoulder injury, but he is expected to be ready to suit up against the Raiders on Monday."
Emmanuel Sanders,DEN,WR,Achilles,probable,Sanders is on the mend from a torn Achilles and offseason ankle surgery. He is likely to make his season debut Monday against the Raiders.
DaeSean Hamilton,DEN,WR,Hamstring,questionable,"Hamilton is dealing with a hamstring injury, leaving his status against the Raiders on Monday in question."
Drew Lock,DEN,,Thumb,I-R,Lock suffered a right thumb sprain and has wound up on injured reserve without a timetable for return.
Jake Butt,DEN,,Knee,I-R,Butt is on injured reserve while recuperating from a torn ACL. He underwent another procedure on his left knee and is expected to be shut down for an extended period.
Theo Riddick,DEN,,Shoulder,I-R,Riddick has a fractured shoulder and has landed on injured reserve. Team officials have yet to state when he will return to the lineup.
Nico Falah,DEN,,Achilles,I-R,Falah is on the injured reserve list due to a torn left Achilles tendon.
Andy Janovich,DEN,FB,Pectoral,out,Janovich suffered a strained pectoral muscle and he is not expected to be make his season debut until the early part of October.
Horace Richardson,DEN,,Back,I-R,Richardson has hit the injured reserve list with a back injury.
Austin Fort,DEN,,Knee,I-R,Fort tore his ACL and is on injured reserve.
Joseph Jones,DEN,IL,Tricep,out,Jones is sidelined a triceps injury and is expected to miss six to eight weeks.
Josey Jewell,DEN,IL,Oblique,out,"Jewell has an oblique strain, and it is unknown when he will return to the field."
Billy Winn,DEN,,Tricep,I-R,Winn is on the injured reserve list due to a partially torn triceps.
Rashaan Melvin,DET,CB,Knee,questionable,"Melvin has a knee injury, and it is uncertain if he will take the field against the Cardinals on Sunday."
Da'Shawn Hand,DET,DE,Elbow,questionable,"Hand is bothered by an elbow injury, and it has yet to be determined if he will be active Sunday against the Cardinals."
Trey Flowers,DET,DE,Shoulder,questionable,"Flowers is battling a shoulder injury, and it is unknown if he will suit up against the Cardinals on Sunday."
Frank Ragnow,DET,G,Ankle,probable,Ragnow is dealing with an ankle sprain but is expected to be ready for Sunday's tilt against the Cardinals.
Amani Oruwariye,DET,DB,Ankle,questionable,"Oruwariye is nursing an ankle injury, and it is unclear if he will play Sunday against the Cardinals."
Austin Bryant,DET,,Arm,I-R,Bryant has landed on the injured reserve list with an arm injury. There is no timetable for recovery.
Nick Bawden,DET,RB,Knee,out,Bawden will miss an undetermined length of time while recovering from a torn ACL that cost him the entire 2018 season.
Jarrad Davis,DET,ML,Leg,out,Davis suffered an injury that will keep him on the shelf for an extended period.
Darius Kilgo,DET,,Leg,I-R,Kilgo has a leg injury and is on the injured reserve list.
Jermaine Kearse,DET,,Leg,I-R,Kearse is on the injured reserve list after breaking his leg.
Tramon Williams,GNB,CB,Knee,probable,"Williams was confined to a limited role in practice due to a knee injury, but it is expected that he will suit up Thursday against the Bears."
Rashan Gary,GNB,LB,Neck,probable,"Gary sustained a neck injury, but it is anticipated that he will play Thursday against the Bears."
Darrius Shepherd,GNB,WR,Hamstring,out,Shepherd has a hamstring injury and will not take part in Thursday's tilt against the Bears.
Jace Sternberger,GNB,,Ankle,I-R,"Sternberger has hit the injured reserve list with a left ankle injury, and it is unknown how long he will be out of action."
Curtis Bolton,GNB,,Knee,I-R,Bolton has hit the injured reserve list with a knee injury.
Kevin King,GNB,CB,Hamstring,probable,"King is on the mend from a hamstring injury, but he is likely to be available for the season opener versus the Bears."
Ka'dar Hollman,GNB,DB,Neck,questionable,"Hollman is tending to a neck injury, and it is unknown if he will be a participant in the season opener against the Bears."
Jimmy Graham,GNB,TE,Finger,probable,"Graham is tending to a finger injury, but it is anticipated that he will participate in Thursday's matchup against the Bears."
Jamaal Williams,GNB,RB,Hamstring,probable,"Williams is dealing with a hamstring injury, but it is unlikely to affect his status for the season opener versus the Bears."
Equanimeous St. Brown,GNB,,Ankle,I-R,St. Brown has landed on the injured reserve list with a high-ankle sprain.
Greg Roberts,GNB,,Abdominal,I-R,Roberts has been placed on the PUP list due to a core muscle injury and will miss an extended period.
Oren Burks,GNB,IL,Pectoral,out,Burks is sidelined with a torn pectoral muscle and is without a definitive timetable for return.
Ibraheim Campbell,GNB,,Knee,I-R,Campbell will spend an undetermined length of time on the PUP list while rehabbing a torn ACL.
Jason Spriggs,GNB,,Back,I-R,Spriggs is on the injured reserve list due to a back injury.
Justin Reid,HOU,SS,Shoulder,questionable,"Reid was confined to a limited role in practice with a shoulder injury, and it is unknown if he will be active Monday against the Saints."
Keke Coutee,HOU,WR,Ankle,probable,Coutee suffered a right ankle sprain but is likely to be ready for the season opener against the Saints.
Tytus Howard,HOU,T,Finger,probable,"Howard broke his finger during the preseason, but it is unlikely to hinder his availability for Monday's contest against the Saints."
Xavier Woodson-Luster,HOU,,Ankle,I-R,Woodson-Luster has appeared on the injured reserve list with an ankle injury.
A.J. McCarron,HOU,QB,Thumb,probable,"McCarron injured his thumb, but he is on pace to be available against the Saints on Monday."
Greg Mancz,HOU,C,Ankle,questionable,"Mancz sustained an ankle injury, leaving his status for Monday's matchup against the Saints up in the air."
Zach Fulton,HOU,G,Toe,questionable,"Fulton is dealing with turf toe, and it is undetermined if he will be available Monday against the Saints."
Brennan Scarlett,HOU,OL,Head,questionable,"Scarlett has a head injury, and it is unclear if he will play Monday against the Saints."
Will Fuller,HOU,WR,Knee,probable,Fuller V is recuperating from a torn ACL in his knee that ended his 2019 season. He is expected to return to the lineup against the Saints on Monday.
Kahale Warring,HOU,,Concussion,I-R,"Warring has wound up on the injured reserve list with a concussion, and it is unclear when he will be activated."
Jordan Thomas,HOU,,Ribs,I-R,"Thomas has been placed on injured reserve with a cracked rib, and it is unknown when he will return."
Joe Webb,HOU,,Foot,I-R,Webb III will miss an extended period while on the injured reserve list due to a right foot injury.
Chris Landrum,HOU,,Undisclosed,I-R,Landrum is on injured reserve due to an undefined injury.
Duke Ejiofor,HOU,,Achilles,I-R,Ejiofor is on the injured reserve list with a torn Achilles.
Lamar Miller,HOU,,Knee,I-R,Miller suffered a torn left ACL and MCL and has landed on the injured reserve list.
Ira Savage-Lewis,HOU,,Undisclosed,I-R,Savage-Lewis is on injured reserve due to an unspecified injury.
Isaac Whitney,HOU,,Wrist,I-R,Whitney has landed on the injured reserve list due to a wrist injury.
DJ Chark,JAX,WR,Concussion,probable,"Chark is experiencing concussion-like symptoms, but it is not expected to impede his status for the season opener against the Chiefs."
Marqise Lee,JAX,WR,Knee,probable,Lee is expected to be ready heading into Sunday's game against the Chiefs despite a knee injury.
Cedric Ogbuehi,JAX,T,Hamstring,questionable,"Ogbuehi is managing a hamstring injury, and it has yet to be established if he will be on the field for Sunday's clash with the Chiefs."
Nick Foles,JAX,QB,Abdominal,probable,Foles is expected to be available against the Chiefs in the season opener despite abdominal soreness.
Quincy Williams,JAX,LB,Knee,probable,"Williams has a slight tear in his meniscus, but it is anticipated that he is likely to be available against the Chiefs on Sunday."
Marcell Dareus,JAX,NT,Elbow,questionable,"Dareus is incapacitated with an elbow injury, and it has yet to be determined if he will line up against the Chiefs on Sunday."
Lerentee McCray,JAX,DE,Ankle,questionable,"McCray is tending to an ankle injury, and it is uncertain if it will keep him out of Sunday's lineup against the Chiefs."
D.J. Alexander,JAX,OL,Hamstring,questionable,Alexander was confined to a limited role in practice with a hamstring injury. His availability for Sunday's matchup against the Chiefs is hazy.
Josh Oliver,JAX,TE,Hamstring,doubtful,Oliver is dealing with a hamstring injury and is not expected to be available against the Chiefs on Sunday.
KC McDermott,JAX,,Ankle,I-R,McDermott is on injured reserve due to an ankle injury.
Leonard Wester,JAX,,Lower Body,I-R,"Wester has wound up on injured reserve with a lower-body injury, and the severity of the ailment has yet to be determined."
Geoff Swaim,JAX,TE,Foot,probable,Swaim is expected to line up against the Chiefs in the season opener despite a foot injury.
Devante Mays,JAX,,Ankle,I-R,Mays will spend an undetermined length of time on the injured reserve list with an ankle injury.
Ryquell Armstead,JAX,RB,Concussion,questionable,"Armstead is experiencing concussion-like symptoms, and it is unknown if he will participate in the season opener against the Chiefs."
Donnell Greene,JAX,,Undisclosed,I-R,"Green has been designated for the Injured Reserve list with an unspecified ailment, and it is unknown when he will return."
Alfred Blue,JAX,,Ankle,I-R,Blue has been placed on the injured reserve list due to an ankle injury. It is unknown when he will return.
Jake Ryan,JAX,,Knee,I-R,Ryan has landed on the Injured Reserve/Non-Football Injury list while rehabbing a torn ACL that shut him down during the 2018 season. There is no timetable for return.
Ben Ijalana,JAX,,Elbow,I-R,Ijalana has been added to the injured reserve list with an elbow injury.
Cody Brown,JAX,,Undisclosed,I-R,Brown has reverted to the injured reserve list after clearing waivers due to an unspecified injury.
James Onwualu,JAX,,Knee,I-R,Onwualu has been designated for the injured reserve list after suffering a non-contact knee injury.
Marcus Simms,JAX,,Concussion,I-R,Simms is on injured reserve due to concussion-like symptoms.
Taj McGowan,JAX,,Knee,I-R,McGowan has been designated for injured reserve due to a knee injury.
Tyrann Mathieu,KAN,FS,Shoulder,probable,Mathieu hurt his shoulder during the preseason but is expected to be ready for action heading into Sunday's game versus the Jaguars.
Deon Yelder,KAN,TE,Ankle,probable,Yelder is tending to an ankle injury but is expected to be available against the Jaguars on Sunday.
Felton Davis,KAN,,Shoulder,I-R,Davis III has reverted to injured reserve after clearing waivers with a shoulder injury.
Chad Henne,KAN,,Ankle,I-R,Henne has been placed on injured reserve after having surgery to fix a broken ankle.
David Wells,KAN,,Calf,I-R,Wells has landed on the injured reserve list due to a calf injury.
Darius Harris,KAN,,Shoulder,I-R,Harris has been placed on the Injured Reserve/Non-Football Injury list as he is recuperating from offseason right shoulder surgery. He will miss an undetermined length of time.
Gehrig Dieter,KAN,,Back,I-R,Dieter will spend an extended period on injured reserve due to a back injury.
De'Anthony Thomas,KAN,,Suspension,out,Thomas has been suspended one week for violating the substance abuse policy. He is likely to be reinstated for Week 2 against Raiders.
Breeland Speaks,KAN,,Knee,I-R,Speaks has would up on injured reserve after having surgery to repair a sprained MCL and meniscus injury in his right knee.
Tim Ward,KAN,,Knee,I-R,"Ward is on the Injured Reserve/Non-Football Injury list while healing from a knee injury, and it is unknown how much time he will be forced to miss."
Morris Claiborne,KAN,,Suspension,out,Claiborne has been handed a four-game suspension for violating the league's substance abuse policy. He is expected to be reinstated in time for Week 5 against the Colts.
John Lovett,KAN,,Shoulder,I-R,Lovett has been placed on the injured reserve list with a shoulder injury.
Marcus Kemp,KAN,,Knee,I-R,Kemp has been designated for the injured reserve list due to a torn ACL and MCL in his knee.
Keith Reaser,KAN,,Achilles,I-R,Reaser has been added to the injured reserve list due to a torn Achilles tendon.
John Jenkins,MIA,DT,Illness,questionable,"Jenkins is ailing from an illness, and it has yet to be determined if the symptoms are likely to subside in time for Sunday's clash with the Ravens."
Danny Isidora,MIA,G,Hamstring,questionable,Isidora is nursing a hamstring injury and it is unknown if he will be in the lineup against the Ravens on Sunday.
Andrew Van Ginkel,MIA,LB,Foot,questionable,"Van Ginkel is battling a foot injury, and it is undetermined if he will line up against the Ravens on Sunday."
Trent Harris,MIA,DE,Foot,questionable,"Harris has a foot injury, and it has yet to be determined if he will be a participant in Sunday's matchup against the Ravens."
Johnson Bademosi,MIA,CB,Hip,questionable,"Bademosi is dealing with a hip injury, and it is unclear if he will participate in the season opener against the Ravens."
Bobby McCain,MIA,CB,Shoulder,questionable,"McCain is managing a shoulder injury, and it is uncertain if he will be active Sunday against the Ravens."
Reshad Jones,MIA,FS,Shoulder,questionable,Jones had surgery to repair a torn labrum in his right shoulder and is also dealing with a foot injury. His status for Sunday's contest against the Ravens is up in the air.
Albert Wilson,MIA,WR,Hip,probable,"Wilson is recovering from a hip injury, but he is likely to be available for the season opener against the Ravens."
Kenyan Drake,MIA,RB,Foot,questionable,"Drake is dealing with a foot injury, and it is unclear if he will play against the Ravens on Sunday."
Jonathan Woodard,MIA,,Undisclosed,I-R,Woodard has reverted to injured reserve after clearing waivers with an unspecified injury.
Cordrea Tankersley,MIA,,Knee,I-R,Tankersley is recovering from a torn right ACL and is on the PUP list. A timetable for recovery has yet to be established.
Robert Nkemdiche,MIA,,Knee,I-R,Nkemdiche will spend the entire 2019 season on the PUP list while recovering from a torn ACL.
Chase Allen,MIA,,Undisclosed,I-R,Allen has landed on injured reserve with an undefined ailment.
Ricardo Louis,MIA,,Knee,I-R,Louis has been designated for injured reserve due to a knee injury.
Kendrick Norton,MIA,,Arm,I-R,Norton is on the Injured Reserve/Non-Football Injury list after having his arm amputated.
Mike Hull,MIA,,Knee,I-R,Hull has been designated for the PUP list due to a knee injury and is expected to miss the entire 2019 season.
Stefon Diggs,MIN,WR,Hamstring,probable,"Diggs is dealing with a hamstring injury, but it is likely that he will face the Falcons on Sunday."
Mike Hughes,MIN,CB,Knee,doubtful,Hughes is recovering from surgery to repair a torn ACL and is unlikely to suit up versus the Falcons on Sunday.
Isaiah Wharton,MIN,,Undisclosed,I-R,Wharton is on injured reserve with an unspecified injury.
Ade Aruna,MIN,,Knee,I-R,Aruna has reverted to the injured reserve list after clearing waivers with a knee injury.
David Morgan,MIN,,Knee,I-R,Morgan has landed on the reserve/PUP list after having offseason knee surgery. It is unknown how much time he will need to heal.
